complex,feature1,feature2
2.9095960999008006+1.0460879951125661j,2.9095960999008006,1.0460879951125661
0.6283403665529044+0.7778720735911249j,0.6283403665529044,0.7778720735911249
2.0721092817645284+0.06642478483421865j,2.0721092817645284,0.06642478483421865
2.884310362463809+1.6738620217701972j,2.884310362463809,1.6738620217701972
0.5420824482008325+0.44551940654207556j,0.5420824482008325,0.44551940654207556
2.8152348448840097+0.7323240413745238j,2.8152348448840097,0.7323240413745238
0.9228856657460704+2.763405914792237j,0.9228856657460704,2.763405914792237
2.194618710512332+2.8101343331561033j,2.194618710512332,2.8101343331561033
2.798845475434112+1.4460005774495648j,2.798845475434112,1.4460005774495648
0.47022208108009955+1.1769795380295451j,0.47022208108009955,1.1769795380295451
1.1428751410893403+1.1982368086306678j,1.1428751410893403,1.1982368086306678
2.193523059028653+0.8659503620782333j,2.193523059028653,0.8659503620782333
1.5489825937592996+1.0696413081881955j,1.5489825937592996,1.0696413081881955
2.047892550905564+0.722992269273123j,2.047892550905564,0.722992269273123
2.2300220667606405+0.729738612217014j,2.2300220667606405,0.729738612217014
2.68059557452995+1.3822290075072166j,2.68059557452995,1.3822290075072166
0.2642590560563637+2.560677751892389j,0.2642590560563637,2.560677751892389
2.7643421832441186+1.715446117152327j,2.7643421832441186,1.715446117152327
0.8927176371120744+0.04272761234537914j,0.8927176371120744,0.04272761234537914
2.937041333935963+0.42667872110210925j,2.937041333935963,0.42667872110210925
2.4897291734820417+2.0600329745595527j,2.4897291734820417,2.0600329745595527
1.2061141841627179+2.897535180539164j,1.2061141841627179,2.897535180539164
1.575353081958591+0.301893512076866j,1.575353081958591,0.301893512076866
1.6646303986644622+0.19465981764281326j,1.6646303986644622,0.19465981764281326
2.5474877015438757+1.9700190411472134j,2.5474877015438757,1.9700190411472134
0.5359009662075179+1.594081444854897j,0.5359009662075179,1.594081444854897
1.125563312120844+1.0702699756157406j,1.125563312120844,1.0702699756157406
1.0002371931840803+1.1522943695943915j,1.0002371931840803,1.1522943695943915
2.506367635949667+0.8091025473691964j,2.506367635949667,0.8091025473691964
0.4993102581980653+0.1584364042793076j,0.4993102581980653,0.1584364042793076
2.8489669346985336+2.5902906734453754j,2.8489669346985336,2.5902906734453754
1.1619218108596803+1.4052251512613276j,1.1619218108596803,1.4052251512613276
2.8771328234261455+0.7927564383815512j,2.8771328234261455,0.7927564383815512
2.873140467929664+0.6341524158161033j,2.873140467929664,0.6341524158161033
2.519175838061516+1.901096330256073j,2.519175838061516,1.901096330256073
