,ans
0,0.0004327842566189677
1,-0.0004021926738304593
2,0.0006784844671640089
3,0.0004765575264127353
4,0.0006960915688956071
5,0.00047891806040245566
6,-0.001238734650030271
7,0.000554954843129174
8,-0.00015923953253471623
9,3.160382397604522e-05
10,-0.000475422192656616
11,0.0005161966050361011
12,0.0005305404095325983
13,0.0002441900570143152
14,-0.0007784867541051899
15,-0.00012841700103516374
16,-0.00035724565575145917
17,-0.0014272688393477395
18,-0.00041299860776800035
19,-0.0011016621718995534
20,9.014035485344074e-05
21,-0.00022967720718591877
22,0.0014842412091962132
23,-0.0002256659046715459
24,-0.0008512052950606641
25,0.000369198440515639
26,0.0004067043943520865
27,-0.0003211592054268575
28,-0.0002057208161860835
29,9.509136336394164e-05
30,0.0011973644825210572
31,0.00021463630244245024
32,-0.0007432715641574328
33,-0.000283622873301137
34,-0.0001932024794368825
35,0.00026868148762138055
36,0.0005121114174753139
37,0.0005609291432582264
38,0.00010202437737816261
39,-0.0014982708114771315
40,0.00028884636418657905
41,-0.0001151744917871067
42,-0.0007446440396429166
43,0.0013724148228989597
44,0.0011954318661743235
45,0.00011459174886363499
46,-0.00025227983406561627
47,0.00025957594397207906
48,0.00034288208445243384
49,0.0001675387293385011
50,0.0005004965207537904
51,-8.63877386265699e-05
52,9.108438091098847e-05
53,-0.0005242341532449846
54,0.0001566230800049695
55,0.0005764075932498391
56,0.0005315931786651351
57,0.0002559668022104056
58,-0.00013254710867594
59,0.00035541401075400714
60,-0.0001252424595812318
61,0.0005796509876732081
62,0.00020283947444577066
63,4.2424122803641495e-05
64,-0.0005826036441982652
65,-0.0001914598560013303
66,0.000560748277449008
67,-0.00038067006793052194
68,-0.0003375428433987082
69,-0.001111636681843109
70,-0.00040092384210455023
71,-0.0005106846390083852
72,-0.0006030974564976699
73,-0.0003408628339043318
74,-0.0008409373336890624
75,0.0008142516543605538
76,0.0005775780711385625
77,-0.0004377256585716416
78,-0.0006896531020175178
79,-0.0006724809622460359
80,0.00033525035465520325
81,0.0013290019704467193
82,-0.0004279990305884329
83,0.0005522725387301364
84,-0.0014710671788515373
85,-0.0005166123002560141
86,-0.0003676783614112722
87,0.0005751063696897152
88,-0.00015943841225984912
89,0.0011328913123602735
90,-0.00023046321912573164
91,0.00027004816825204614
92,0.00048018382785497415
93,0.0003242322304743972
94,-0.0003049992915342692
95,-0.0005332149588723745
96,-0.0010203088114081882
97,0.001252017513482362
98,-0.0005472894285842855
99,-0.0006221068034546473
